Indentation

 + User defined profile

+ User defined profile
   Acquisition rate :	20.0 [Hz]
   Linear load 20.00  µN ; 100.00 µN/min
   Pause in load 2 s
   Linear load 0.00  µN ; 100.00 µN/min
   Pause in load 120 s
   Linear depth 16.00  µm ; 500.00 µm/min
   Pause in depth 120 s
   Linear depth 0.00  µm ; 1000.00 µm/min
+ TTX - UNHT Bio S/N: 1000136751 settings
   Fn contact : 25 µN
   Approach distance : 20 µm
   Approach speed : 100 µm/min
   Retract speed : 200 µm/min
   Retract time : 5 sec
   Dz sensor in large range
   Load in fine range
   FnRef in fine range
   FnRef contactload :500.000 µN
   Stiffness threshold : 1 µN/µm

   X Position :8879.40 µm
   Y Position :36804.57 µm
   Z Position :7456.06 µm

Date :6/9/2026
Time :1:01:45 PM

   Method :	Hertz

Cycle # 1

 + Parameters

  Load Fit [10%,98%]

 + Main results

   EHz=	8.3255 	kPa

 + Hypothesis


 + Additional results

   ErHz=	9.15 kPa
   h offset=	10.61 µm
   R2=	0.70

Cycle # 2

 + Parameters

  Load Fit [10%,98%]

 + Main results

! Not calculable !

 + Hypothesis


 + Additional results


Measured values
Time (s)	Pd (µm)	Fn (µN)	FnRef (µN)	SegmentID

0	0	0	5.0848	0
0.05	0.0549	0.2409	5.0996	0
0.1	0.1112	-0.8739	5.1033	0
0.15	0.166	0.4402	5.0988	0
0.2	0.2222	0.3136	5.0885	0
0.25	0.2796	-0.9875	5.0889	0
0.3	0.3352	0.416	5.0873	0
0.35	0.3927	-0.1422	5.0858	0
0.4	0.4503	-0.3414	5.0812	0
0.45	0.5076	0.107	5.0655	0
0.5	0.5656	0.1037	5.0611	0
0.55	0.6241	0.0526	5.0846	0
0.6	0.6831	-0.1669	5.0815	0
0.65	0.7419	0.1118	5.0748	0
0.7	0.8013	0.1121	5.0747	0
0.75	0.8613	-0.3665	5.0767	0
0.8	0.9203	0.5745	5.0822	0
0.85	0.9808	-0.0704	5.0831	0
0.9	1.0418	-0.324	5.0746	0
0.95	1.1022	0.2822	5.0859	0
1	1.1632	0.3904	5.0833	0
1.05	1.2252	-0.2425	5.0769	0
1.1	1.2864	0.1621	5.0777	0
1.15	1.3483	-0.0035	5.0817	0
1.2	1.4101	0.5069	5.0968	0
1.25	1.4733	-0.5172	5.0846	0
1.3	1.535	0.7634	5.0825	0
1.35	1.5987	-0.1262	5.0885	0
1.4	1.6617	0.098	5.0993	0
1.45	1.7253	0.393	5.0957	0
1.5	1.7896	-0.0248	5.0953	0
1.55	1.8538	0.169	5.1032	0
1.6	1.9182	0.3834	5.1081	0
1.65	1.9831	-0.1292	5.0903	0
1.7	2.0472	0.6335	5.0675	0
1.75	2.1127	-0.0992	5.0731	0
1.8	2.1776	0.2823	5.0811	0
1.85	2.2434	0.0967	5.0848	0
1.9	2.3095	0.1055	5.0775	0
1.95	2.3758	0.2064	5.0809	0
2	2.4421	0.1248	5.0663	0
