Indentation

 + Advanced

+ Advanced
   Acquisition rate :	10.0 [Hz]
   Linear loading
   Max load :	1000.00 	µN
   Loading rate :	500.00 	µN/min
   Unloading rate :	500.00 	µN/min
   Pause :	30.0 s

+ TTX - UNHT Bio S/N: 1000136751 settings
   Fn contact : 25 µN
   Approach distance : 20 µm
   Approach speed : 100 µm/min
   Retract speed : 200 µm/min
   Retract time : 5 sec
   Dz sensor in large range
   Load in fine range
   FnRef in fine range
   FnRef contactload :500.000 µN
   Stiffness threshold : 1 µN/µm

   X Position :10204.70 µm
   Y Position :40263.90 µm
   Z Position :8762.40 µm

Date :6/9/2026
Time :1:31:40 PM

Analysis n # 1

   Method :	Hertz

 + Parameters

  Load Fit [10%,98%]

 + Main results

   EHz=	938.79 	kPa

 + Hypothesis


 + Additional results

   ErHz=	1031.64 kPa
   h offset=	5.98 µm
   R2=	0.99

Analysis n # 2

   Method :	Oliver & Pharr

 + Parameters

  Unload Fit [40%,98%]

 + Main results

   HIT=	26.74 	kPa
   EIT=	756.54 	kPa
   E*=	831.37 	kPa

 + Hypothesis

   !!! Indenter not calibrated !!!
   Poisson's ratio(nu)=	0.30 

 + Additional results

   HVIT=	0.0027258 	 Vickers
   CIT 0.001/120/30=	0.55 	%
   nIT=	82.97 %
   Fmax=	1005.48 	µN
   hmax=	16.15 	µm
   S=	181.9084 	µN/µm
   F/S²=	0.0304 	µm²/µN
   hc=	12.12 	µm
   hr=	10.62 	µm
   hp=	5.63 	µm
   m=	1.9036 
   Epsilon=	0.73 
   R2=	1.000
   Ap=	37602.17 	µm²
   Welast=	3431.13 pJ
   Wplast=	704.01 pJ
   Wtotal=	4135.14 pJ
   Er=	831.36 	kPa

Measured values
Time (s)	Pd (µm)	Fn (µN)	FnRef (µN)	SegmentID

0	0	0	5.1112	0
0.1	0.1948	0.0203	5.1169	0
0.2	0.3879	0.1487	5.1174	0
0.3	0.5793	0.3138	5.1064	0
0.4	0.7689	0.4124	5.1086	0
0.5	0.9567	0.5104	5.1249	0
0.6	1.1432	0.7204	5.1287	0
0.7	1.329	0.9855	5.1224	0
0.8	1.5137	1.2414	5.1269	0
0.9	1.6971	1.4858	5.12	1
1	1.8793	1.7922	5.1095	1
1.1	2.0605	2.1848	5.1113	1
1.2	2.2414	2.7022	5.1115	1
1.3	2.4141	3.1889	5.1138	1
1.4	2.5322	3.3778	5.1259	1
1.5	2.5894	3.5545	5.1207	1
1.6	2.633	3.69	5.1265	1
1.7	2.6751	3.8501	5.1229	1
1.8	2.7175	3.9687	5.1069	1
1.9	2.7607	4.1287	5.0992	1
2	2.8051	4.4078	5.1227	1
2.1	2.8514	4.653	5.1233	1
2.2	2.9	4.8121	5.1162	1
2.3	2.9506	5.1478	5.123	1
2.4	3.0028	5.4939	5.1174	1
2.5	3.0573	5.7268	5.1206	1
2.6	3.1143	6.2016	5.1319	1
2.7	3.1727	6.634	5.118	1
2.8	3.2327	7.1091	5.1136	1
2.9	3.295	7.5466	5.1243	1
3	3.3592	7.9116	5.1299	1
3.1	3.4252	8.6017	5.1309	1
3.2	3.4921	9.1843	5.132	1
3.3	3.5603	9.8091	5.1394	1
3.4	3.6297	10.5791	5.1353	1
3.5	3.6999	11.254	5.1243	1
3.6	3.7705	12.051	5.1326	1
3.7	3.8414	12.9238	5.1171	1
3.8	3.912	13.8655	5.1014	1
3.9	3.9828	14.7649	5.1068	1
4	4.0535	15.6593	5.127	1
4.1	4.1234	16.7459	5.1433	1
4.2	4.1923	17.7582	5.1362	1
4.3	4.2604	18.7007	5.1187	1
4.4	4.3277	19.8662	5.1078	1
4.5	4.3935	20.9909	5.1008	1
4.6	4.4579	22.142	5.1039	1
4.7	4.5213	23.1212	5.1005	1
4.8	4.5834	24.248	5.1193	1
4.9	4.6441	25.2934	5.1366	1
5	4.7036	26.332	5.1277	1
5.1	4.7618	27.4528	5.1184	1
5.2	4.8186	28.5226	5.1319	1
5.3	4.874	29.6065	5.1276	1
5.4	4.928	30.7381	5.14	1
5.5	4.9804	31.831	5.1467	1
5.6	5.0315	32.7985	5.1363	1
5.7	5.0821	33.8229	5.1342	1
5.8	5.1313	34.8456	5.1526	1
5.9	5.1794	35.9517	5.1558	1
6	5.2262	36.9381	5.1496	1
6.1	5.2719	37.9489	5.1376	1
