Indentation

 + User defined profile

+ User defined profile
   Acquisition rate :	20.0 [Hz]
   Linear load 20.00  µN ; 100.00 µN/min
   Pause in load 2 s
   Linear load 0.00  µN ; 100.00 µN/min
   Pause in load 120 s
   Linear depth 18.00  µm ; 500.00 µm/min
   Pause in depth 120 s
   Linear depth 0.00  µm ; 1000.00 µm/min
+ TTX - UNHT Bio S/N: 1000136751 settings
   Fn contact : 25 µN
   Approach distance : 20 µm
   Approach speed : 100 µm/min
   Retract speed : 200 µm/min
   Retract time : 5 sec
   Dz sensor in large range
   Load in fine range
   FnRef in fine range
   FnRef contactload :500.000 µN
   Stiffness threshold : 1 µN/µm

   X Position :9440.60 µm
   Y Position :37137.13 µm
   Z Position :8079.97 µm

Date :6/9/2026
Time :9:17:53 AM

   Method :	Hertz

Cycle # 1

 + Parameters

  Load Fit [10%,98%]

 + Main results

   EHz=	25.273 	kPa

 + Hypothesis


 + Additional results

   ErHz=	27.77 kPa
   h offset=	10.12 µm
   R2=	0.79

Cycle # 2

 + Parameters

  Load Fit [10%,98%]

 + Main results

! Not calculable !

 + Hypothesis


 + Additional results


Measured values
Time (s)	Pd (µm)	Fn (µN)	FnRef (µN)	SegmentID

0	0	0	5.1444	0
0.05	0.0742	-0.3474	5.1525	0
0.1	0.1481	0.2332	5.1531	0
0.15	0.2231	-0.2449	5.1552	0
0.2	0.2977	-0.2291	5.1475	0
0.25	0.3721	0.1816	5.1305	0
0.3	0.4477	-0.212	5.1355	0
0.35	0.5233	-0.3771	5.1569	0
0.4	0.598	0.6632	5.1546	0
0.45	0.6745	-0.3915	5.1614	0
0.5	0.7764	0.0845	5.1601	0
0.55	0.9557	0.3721	5.1482	0
0.6	1.181	-0.0772	5.1625	0
0.65	1.4114	0.3944	5.1746	0
0.7	1.6418	0.338	5.1773	0
0.75	1.8705	-0.0341	5.1571	0
0.8	2.0961	0.3791	5.1471	0
0.85	2.3189	0.7358	5.1473	0
0.9	2.5394	0.1468	5.152	0
0.95	2.7557	0.6387	5.1611	0
1	2.9686	0.5817	5.1599	0
1.05	3.1782	0.2586	5.1661	0
1.1	3.3844	0.8557	5.1712	0
1.15	3.5879	0.779	5.1571	0
1.2	3.7881	0.5646	5.1638	0
1.25	3.9847	0.7895	5.1694	0
1.3	4.1778	0.9801	5.1644	0
1.35	4.3683	0.711	5.1672	0
1.4	4.5554	0.6424	5.1536	0
1.45	4.7389	1.048	5.1585	0
1.5	4.92	1.0124	5.1618	0
1.55	5.0989	0.6672	5.1477	0
1.6	5.2748	0.8304	5.1563	0
1.65	5.4479	1.3483	5.1732	0
1.7	5.6186	0.7728	5.1735	0
1.75	5.7857	1.0051	5.1646	0
1.8	5.9507	1.4375	5.1487	0
1.85	6.1146	0.6281	5.1488	0
1.9	6.2747	1.4963	5.1453	0
1.95	6.4337	0.7756	5.1467	0
2	6.589	1.6721	5.1438	0
2.05	6.7431	1.003	5.1278	0
2.1	6.8946	0.9986	5.1284	0
2.15	7.0435	1.9669	5.1255	0
2.2	7.1917	0.8565	5.1334	0
2.25	7.3364	1.7397	5.1417	0
2.3	7.4805	1.4881	5.1383	0
2.35	7.6224	1.4778	5.1294	0
2.4	7.7624	1.4472	5.135	0
2.45	7.9001	1.9437	5.136	0
2.5	8.0368	1.3114	5.1231	0
2.55	8.1709	1.9087	5.1289	0
2.6	8.3042	1.5705	5.1397	0
2.65	8.4349	1.807	5.1367	0
2.7	8.5644	1.7006	5.1359	0
2.75	8.6923	2.2006	5.1532	0
2.8	8.8197	1.4294	5.1574	0
2.85	8.9446	2.1122	5.1547	0
2.9	9.0686	2.1581	5.159	0
2.95	9.1916	1.6744	5.1529	0
3	9.3127	2.1382	5.1571	0
3.05	9.4327	1.7452	5.1635	0
3.1	9.5511	1.8439	5.1584	0
3.15	9.6682	2.3539	5.1488	0
3.2	9.7857	1.6252	5.1466	0
3.25	9.9004	2.5141	5.154	0
3.3	10.0152	1.8551	5.1447	0
3.35	10.1289	1.9279	5.1403	0
3.4	10.2407	2.6351	5.1341	0
3.45	10.3526	1.6595	5.134	0
3.5	10.462	2.6834	5.1335	0
3.55	10.572	2.0542	5.1403	0
3.6	10.6805	2.4845	5.1397	0
3.65	10.7888	2.0599	5.152	0
3.7	10.8957	2.5615	5.1594	0
3.75	11.0021	2.2918	5.1447	0
3.8	11.1074	2.4543	5.1438	0
3.85	11.2124	2.3444	5.1357	0
3.9	11.3165	2.7992	5.1561	0
3.95	11.4208	2.0469	5.1701	0
4	11.5228	2.8212	5.1686	0
4.05	11.625	2.6099	5.1683	0
4.1	11.7267	2.4616	5.1507	0
4.15	11.8276	2.562	5.1454	0
4.2	11.9277	2.8506	5.1461	0
4.25	12.028	2.3815	5.1552	0
4.3	12.1268	2.9207	5.1544	0
4.35	12.2254	2.894	5.138	0
4.4	12.3239	2.4271	5.1347	0
4.45	12.4211	2.93	5.1303	0
4.5	12.5185	3.0037	5.1233	0
4.55	12.6156	2.7425	5.141	0
4.6	12.7118	2.9559	5.156	0
4.65	12.8079	2.9764	5.1736	0
4.7	12.9037	2.7851	5.1572	0
4.75	12.9988	3.1272	5.1528	0
4.8	13.0936	2.9762	5.1621	0
4.85	13.1875	3.0814	5.1527	0
4.9	13.2807	3.3387	5.1493	0
4.95	13.3744	2.8613	5.1391	0
5	13.4672	3.6559	5.1333	0
5.05	13.5609	3.0545	5.1484	0
5.1	13.6535	3.3222	5.1517	0
5.15	13.7457	3.6871	5.1475	0
5.2	13.838	3.425	5.1483	0
5.25	13.9296	3.6461	5.1655	0
5.3	14.021	3.9124	5.1619	0
5.35	14.1122	3.8076	5.1536	0
5.4	14.2029	4.0401	5.1521	0
5.45	14.2936	4.0787	5.1376	0
5.5	14.3841	4.7194	5.1144	0
5.55	14.4758	3.7344	5.1147	0
5.6	14.5649	5.3728	5.125	0
5.65	14.6556	4.6533	5.1214	1
5.7	14.7452	5.1171	5.1434	1
5.75	14.8346	5.5311	5.1504	1
5.8	14.9243	5.6339	5.1421	1
5.85	15.01	5.7455	5.1355	1
5.9	15.0718	6.2199	5.1379	1
5.95	15.1061	5.7203	5.1311	1
6	15.1351	5.6878	5.1162	1
6.05	15.1608	6.2803	5.1424	1
6.1	15.1852	6.1947	5.1672	1
6.15	15.2089	6.0934	5.165	1
6.2	15.2312	6.1821	5.1518	1
6.25	15.2528	6.3475	5.1531	1
6.3	15.2739	6.3005	5.1588	1
6.35	15.2951	6.3718	5.1617	1
6.4	15.3149	6.4497	5.1629	1
6.45	15.3349	6.6592	5.1484	1
6.5	15.3541	6.4351	5.1472	1
6.55	15.3732	6.7692	5.1545	1
6.6	15.3919	6.8327	5.1538	1
6.65	15.4102	6.6729	5.1555	1
6.7	15.4294	6.7183	5.1543	1
6.75	15.4473	6.9269	5.1561	1
6.8	15.4654	7.2822	5.1509	1
6.85	15.4839	6.3187	5.1502	1
6.9	15.5021	7.6198	5.1502	1
